date,account_size
04/12/2024,"20,000"
05/12/2024,"20,000"
06/12/2024,"20,000"
09/12/2024,"20,000"
10/12/2024,"20,000"
11/12/2024,"20,000"
12/12/2024,"20,000"
13/12/2024,"20,000"
16/12/2024,"20,000"
17/12/2024,"20,000"
18/12/2024,"20,000"
19/12/2024,"20,000"
20/12/2024,"20,000"
23/12/2024,"20,000"
07/01/2025,"20,000"
08/01/2025,"20,000"
13/01/2025,"20,000"
14/01/2025,"27,000"
15/01/2025,"27,000"
16/01/2025,"27,000"
17/01/2025,"27,000"
21/01/2025,"27,000"
22/01/2025,"27,000"
23/01/2025,"27,000"
24/01/2025,"27,000"
27/01/2025,"27,000"
28/01/2025,"27,000"
29/01/2025,"27,000"
05/02/2025,"27,000"
06/02/2025,"27,000"
10/02/2025,"27,000"
11/02/2025,"27,000"
12/02/2025,"27,000"
13/02/2025,"27,000"
14/02/2025,"28,654"
18/02/2025,"28,117"
19/02/2025,"28,117"
20/02/2025,"28,117"
21/02/2025,"28,117"
24/02/2025,"28,425"
26/02/2025,"28,425"
27/02/2025,"28,425"
28/02/2025,"28,425"
03/03/2025,"28,025"
