accountId,symbol,quantity,price,netCashWithBillable,date_and_time,commission
DU5852420,AMZN,80,216.8,-17345.00384,2024-12-04;093052,-1.00384
DU5852420,AMZN,-20,218.04,4359.67449,2024-12-04;100035,-1.12551024
DU5852420,AMZN,-20,219.1,4380.8739,2024-12-04;100413,-1.1260996
DU5852420,AMZN,-10,222.19,2220.836091,2024-12-06;094121,-1.06390882
DU5852420,AMZN,-5,223.35,1115.717764,2024-12-06;094552,-1.03223565
DU5852420,AMZN,-5,224.43,1121.117614,2024-12-06;105902,-1.03238577
DU5852420,AMZN,-10,221.46,2214.6,2024-12-05;151843,0
DU5852420,AMZN,-5,229.11,1144.517084,2024-12-09;093205,-1.03291629
DU5852420,AMZN,-5,225.41,1126.017598,2024-12-10;115221,-1.03240199
DU5852420,MSTR,40,382.39,-15296.60288,2024-12-04;093334,-1.00288
DU5852420,MSTR,-40,379.16,15164.96981,2024-12-04;093334,-1.43018592
DU5852420,TMDX,100,73.45,-7346.0048,2024-12-04;093615,-1.0048
DU5852420,TMDX,-100,72.39,7237.774956,2024-12-04;093615,-1.2250442
DU5852420,VRT,-100,130.77,13075.61506,2024-12-04;095737,-1.3849406
DU5852420,VRT,100,131.96,-13197.0048,2024-12-04;100421,-1.0048
DU5852420,VRT,80,132.72,-10618.60384,2024-12-04;100944,-1.00384
DU5852420,VRT,-80,131.4,10510.69065,2024-12-04;100944,-1.3093536
DU5852420,TMDX,100,71.68,-7169.0048,2024-12-04;101004,-1.0048
DU5852420,TMDX,100,71.61,-7162.0048,2024-12-04;101009,-1.0048
DU5852420,TMDX,-100,70.98,7098,2024-12-04;101019,0
DU5852420,TMDX,-100,70.6,7060,2024-12-04;101019,0
DU5852420,MSTR,20,395.79,-7916.80144,2024-12-05;105913,-1.00144
DU5852420,MSTR,-10,400,4000,2024-12-05;121156,-1.11188328
DU5852420,MSTR,-10,396,3960,2024-12-05;121521,0
DU5852420,NVDA,100,144.5,-14451.0048,2024-12-06;093127,-1.0048
DU5852420,NVDA,150,144.5,-21675.2572,2024-12-06;093127,-0.2572
DU5852420,NVDA,-150,144.6,21688.36492,2024-12-06;093559,-1.635082
DU5852420,NVDA,-100,144.6,14459.32661,2024-12-06;093559,-0.673388
DU5852420,MSTR,-20,390.22,7803.178278,2024-12-06;093459,-1.22172232
DU5852420,MSTR,20,390,-7801.00144,2024-12-06;093742,-1.00144
DU5852420,MRVL,130,112.73,-14655.90624,2024-12-06;094459,-1.00624
DU5852420,MRVL,-50,113.65,5681.331327,2024-12-06;100658,-1.1686735
DU5852420,MRVL,-30,113.73,3410.798009,2024-12-06;102813,-1.10199082
DU5852420,MRVL,-50,112.84,5640.831252,2024-12-06;103630,-1.1687476
DU5852420,MSTR,20,394.35,-7887,2024-12-06;094932,0
DU5852420,MSTR,-20,390.25,7803.778261,2024-12-06;094932,-1.221739
DU5852420,CRDO,120,72.42,-8691.40576,2024-12-06;095451,-1.00576
DU5852420,CRDO,-40,73.78,2950.109397,2024-12-06;105423,-1.09060336
DU5852420,CRDO,-80,72.33,5785.222018,2024-12-06;121411,-1.17798192
DU5852420,MSTR,35,393.97,-13789.95252,2024-12-06;104100,-1.00252
DU5852420,MSTR,-35,391.05,13686.75,2024-12-06;104100,0
DU5852420,MSTR,-23,390.56,8981.625354,2024-12-06;105143,-1.254646064
DU5852420,MSTR,23,392.09,-9019.071104,2024-12-06;105332,-1.001104
DU5852420,PLTR,-100,79.84,7982.756645,2024-12-09;093015,-1.2433552
DU5852420,PLTR,20,78.37,-1568.40096,2024-12-09;094526,-1.00096
DU5852420,PLTR,20,78.25,-1566.00096,2024-12-09;101027,-1.00096
DU5852420,PLTR,10,77.07,-771.70048,2024-12-09;102240,-1.00048
DU5852420,PLTR,40,76.34,-3054.60192,2024-12-09;094746,-1.00192
DU5852420,PLTR,5,76.32,-382.60024,2024-12-09;103112,-1.00024
DU5852420,PLTR,5,72.29,-362.45024,2024-12-09;110731,-1.00024
DU5852420,COIN,45,333,-14986.00216,2024-12-09;093959,-1.00216
DU5852420,COIN,-45,330.6,14875.57679,2024-12-09;100603,-1.4232106
DU5852420,RKLB,100,23.01,-2302.0048,2024-12-09;094956,-1.0048
DU5852420,RKLB,40,23.01,-920.40192,2024-12-09;094956,-0.00192
DU5852420,RKLB,-100,22.46,2244.916161,2024-12-09;101915,-1.0838388
DU5852420,RKLB,-40,22.46,898.3664645,2024-12-09;101915,-0.03353552
DU5852420,AAOI,60,38.5,-2310,2024-12-09;095246,0
DU5852420,AAOI,-60,38.62,2316.122742,2024-12-09;100106,-1.07725816
DU5852420,MSTR,23,377.49,-8683.271656,2024-12-09;105748,-1.001656
DU5852420,MSTR,-23,378.22,8697.813244,2024-12-09;113713,-1.246755868
DU5852420,TSLA,40,399.88,-15996.20288,2024-12-10;094353,-1.00288
DU5852420,TSLA,-40,400.54,16020.14604,2024-12-10;095030,-1.45396048
DU5852420,MSTR,25,363.51,-9088.7512,2024-12-10;105531,-1.0012
DU5852420,MSTR,-25,359.22,8979.244992,2024-12-10;105531,-1.2550079
DU5852420,MSTR,25,362.3,-9058.5018,2024-12-10;110219,-1.0018
DU5852420,MSTR,-25,362.2,9053.742921,2024-12-10;110652,-1.257079
DU5852420,NVDA,100,137.58,-13759.0048,2024-12-10;111204,-1.0048
DU5852420,NVDA,80,137.58,-11006.40384,2024-12-10;111204,-0.00384
DU5852420,NVDA,-100,137.85,13783.59538,2024-12-10;112109,-1.404623
DU5852420,NVDA,-80,137.64,11011.2,2024-12-10;112205,0
DU5852420,NVDA,100,137.16,-13717.0048,2024-12-10;112937,-1.0048
DU5852420,NVDA,100,137.16,-13716.0048,2024-12-10;112937,-0.0048
DU5852420,NVDA,100,137.16,-13716.5048,2024-12-10;112937,-0.5048
DU5852420,NVDA,100,137.13,-13714.0048,2024-12-10;113015,-1.0048
DU5852420,NVDA,-301,136.87,41195.15529,2024-12-10;113023,-2.714714786
DU5852420,NVDA,-99,136.87,13549.23712,2024-12-10;113023,-0.892879614
DU5852420,MSTR,25,392.18,-9805.5012,2024-12-11;093409,-1.0012
DU5852420,MSTR,-25,392.35,9807.471367,2024-12-11;093624,-1.27863325
DU5852420,NVDA,200,135.76,-27153.0144,2024-12-11;094041,-1.0144
DU5852420,NVDA,50,135.76,-6788.2524,2024-12-11;094041,-0.2524
DU5852420,NVDA,-50,135.45,6771.301025,2024-12-11;094227,-1.1989755
DU5852420,NVDA,-100,135.45,13544.60205,2024-12-11;094227,-0.397951
DU5852420,NVDA,-100,135.46,13545.35202,2024-12-11;094227,-0.6479788
DU5852420,MSTR,40,389.33,-15574.20288,2024-12-11;094347,-1.00288
DU5852420,MSTR,-20,394.75,7893.776239,2024-12-11;094602,-1.223761
DU5852420,MSTR,-5,396,1978.943886,2024-12-11;095121,-1.056114
DU5852420,MSTR,-15,395.34,5928.931933,2024-12-11;100347,-1.16806678
DU5852420,NVDA,100,136.3,-13631.0048,2024-12-11;103002,-1.0048
DU5852420,NVDA,300,136.3,-40891.0144,2024-12-11;103002,-1.0144
DU5852420,NVDA,-400,136.42,54564.38781,2024-12-11;103543,-3.6121904
DU5852420,NVDA,-600,135.9,81534.60479,2024-12-11;105414,-5.395212
DU5852420,NVDA,100,135.62,-13562,2024-12-11;105722,0
DU5852420,NVDA,100,135.62,-13562,2024-12-11;105722,0
DU5852420,NVDA,100,135.62,-13562,2024-12-11;105722,0
