prev_trade_id,symbol,strategy,entry_type,direction,entry_date,entry_timestamp,instrument_type,quantity,entry_price,stop_price,exit_price,exit_date,exit_timestamp,capital_required,trade_duration,winning_trade,risk_reward,risk_per_trade,perc_return,risk_size
310,AMZN,level break,,bullish,2024-12-04,09:30:52,stock,80,216.81,215.56,227.00,2024-12-10,,17345.000,4.00,1,8.15,0.50,4.07,100.00
311,MSTR,level bounce,,bullish,2024-12-04,09:33:34,stock,40,382.42,379.92,379.12,2024-12-04,,15296.600,0.00,0,-1.32,0.50,-0.66,100.00
312,TMDX,level bounce,,bullish,2024-12-04,09:36:15,stock,100,73.46,72.46,72.38,2024-12-04,,7346.000,0.00,0,-1.08,0.50,-0.54,100.00
315,TMDX,level bounce,,bullish,2024-12-04,10:10:04,stock,200,71.66,71.16,70.79,2024-12-04,,14331.010,0.00,0,-1.73,0.50,-0.87,100.00
316,MSTR,level bounce,,bullish,2024-12-05,10:59:13,stock,20,395.84,390.84,398.00,2024-12-05,,7916.800,0.00,1,0.43,0.50,0.22,100.00
319,MRVL,level bounce,,bullish,2024-12-06,09:44:59,stock,130,112.74,111.97,113.33,2024-12-06,,14655.910,0.00,1,0.77,0.50,0.39,100.00
321,CRDO,level break,,bullish,2024-12-06,09:54:51,stock,120,72.43,71.60,72.79,2024-12-06,,8691.410,0.00,1,0.44,0.50,0.22,100.00
324,PLTR,parabolic short,,bearish,2024-12-09,09:30:15,stock,100,79.83,80.83,74.00,2024-12-09,,7982.760,0.00,1,5.83,0.50,2.91,100.00
328,MSTR,level bounce,,bullish,2024-12-09,10:57:48,stock,23,377.53,373.19,381.00,2024-12-09,,8683.270,0.00,1,0.80,0.50,0.40,100.00
329,TSLA,level break,,bullish,2024-12-10,09:43:53,stock,40,399.91,397.41,430.00,2024-12-13,,15996.200,3.00,1,12.04,0.50,6.02,100.00
331,MSTR,level bounce,,bullish,2024-12-10,11:02:19,stock,25,362.34,358.34,400.00,2024-12-11,,9058.500,1.00,1,9.41,0.50,4.71,100.00
332,NVDA,level bounce,,bullish,2024-12-10,11:12:04,stock,180,137.59,137.03,137.75,2024-12-10,,24765.410,0.00,1,0.29,0.50,0.15,100.00
334,MSTR,level break,,bullish,2024-12-11,09:34:09,stock,25,392.22,388.22,392.30,2024-12-11,,9805.500,0.00,1,0.02,0.50,0.01,100.00
335,NVDA,level bounce,,bullish,2024-12-11,09:40:41,stock,250,135.77,135.37,137.00,2024-12-11,,33941.270,0.00,1,3.09,0.50,1.54,100.00
336,MSTR,level bounce,,bullish,2024-12-11,09:43:47,stock,40,389.36,386.86,404.00,2024-12-11,,15574.200,0.00,1,5.86,0.50,2.93,100.00
337,NVDA,level bounce,,bullish,2024-12-11,10:30:02,stock,400,136.31,136.06,136.41,2024-12-11,,54522.020,0.00,1,0.42,0.50,0.21,100.00
338,NVDA,level break,,bearish,2024-12-11,10:54:14,stock,600,135.89,136.06,135.74,2024-12-11,,81534.600,0.00,1,0.92,0.50,0.46,100.00
339,NVDA,level bounce,,bullish,2024-12-12,09:34:39,stock,280,136.46,136.10,136.09,2024-12-12,,38207.410,0.00,0,-1.02,0.50,-0.51,100.00
341,MSTR,level bounce,,bullish,2024-12-12,09:41:44,stock,30,404.88,401.55,406.33,2024-12-12,,12146.500,0.00,1,0.43,0.50,0.22,100.00
344,MSTR,level bounce,,bullish,2024-12-12,11:37:21,stock,60,401.02,399.36,401.62,2024-12-12,,24061.400,0.00,1,0.36,0.50,0.18,100.00
345,MSTR,level bounce,,bullish,2024-12-12,11:57:29,stock,60,400.84,399.17,398.93,2024-12-12,,24050.200,0.00,0,-1.14,0.50,-0.57,100.00
349,NVDA,level bounce,,bullish,2024-12-13,09:35:16,stock,150,138.39,137.72,138.44,2024-12-13,,20758.010,0.00,1,0.08,0.50,0.04,100.00
350,TSLA,level break,,bullish,2024-12-13,09:44:27,stock,80,421.51,420.26,428.00,2024-12-13,,33721.000,0.00,1,5.19,0.50,2.59,100.00
354,NVDA,level break,,bearish,2024-12-13,10:40:40,stock,300,135.93,136.26,134.00,2024-12-13,,40779.300,0.00,1,5.79,0.50,2.90,100.00
356,NVDA,level break,,bearish,2024-12-13,12:25:29,stock,400,133.31,133.56,133.31,2024-12-13,,53324.430,0.00,1,0.02,0.50,0.01,100.00
360,NVDA,level bounce,,bullish,2024-12-16,09:40:28,stock,100,131.70,130.70,131.85,2024-12-16,,13170.000,0.00,1,0.15,0.50,0.07,100.00
361,TSLA,level bounce,,bullish,2024-12-16,09:59:18,stock,100,437.62,436.62,450.00,2024-12-17,,43762.000,1.00,1,12.38,0.50,6.19,100.00
362,PLTR,level bounce,,bullish,2024-12-16,10:09:32,stock,300,72.16,71.83,71.92,2024-12-16,,21649.020,0.00,0,-0.73,0.50,-0.37,100.00
364,PLTR,level bounce,,bullish,2024-12-16,10:23:04,stock,100,71.59,70.59,74.06,2024-12-17,,7159.010,1.00,1,2.47,0.50,1.23,100.00
